[14:11] Experiment: UBFC-rPPG->PURE, Epoch: 1, Loss: 5.9333
[14:14] Experiment: UBFC-rPPG->PURE, Epoch: 1, Loss: 5.3030
[14:16] UBFC-rPPG->PURE, Epoch: 1, Loss: 3.0094
[14:21] UBFC-rPPG->PURE, Epoch: 1, Loss: 2.6891
[14:26] UBFC-rPPG->PURE, Epoch: 1, Loss: 2.8758
[14:28] UBFC-rPPG->PURE, Epoch: 1, Loss: 0.0000
[14:33] UBFC-rPPG->PURE, Epoch: 1, Loss: 0.0000
[14:38] UBFC-rPPG->PURE, Epoch: 1, Loss: 0.0000
[14:43] UBFC-rPPG->PURE, Epoch: 1, Loss: 0.0000
[14:48] UBFC-rPPG->PURE, Epoch: 1, Loss: 0.0000
[14:53] UBFC-rPPG->PURE, Epoch: 1, Loss: 0.0000
[14:58] UBFC-rPPG->PURE, Epoch: 1, Loss: 0.0000
[15:03] UBFC-rPPG->PURE, Epoch: 1, Loss: 0.0000
[15:08] UBFC-rPPG->PURE, Epoch: 1, Loss: 3.5511
[15:13] UBFC-rPPG->PURE, Epoch: 1, Loss: 3.0025
[15:18] UBFC-rPPG->PURE, Epoch: 1, Loss: 3.5233
[15:23] UBFC-rPPG->PURE, Epoch: 1, Loss: 2.9852
[15:28] UBFC-rPPG->PURE, Epoch: 1, Loss: 0.0000
[15:33] UBFC-rPPG->PURE, Epoch: 1, Loss: 0.0000
[15:38] UBFC-rPPG->PURE, Epoch: 1, Loss: 0.0000
[15:43] UBFC-rPPG->PURE, Epoch: 1, Loss: 0.0000
[15:48] UBFC-rPPG->PURE, Epoch: 1, Loss: 0.0000
[15:53] UBFC-rPPG->PURE, Epoch: 1, Loss: 4.0354
[15:58] UBFC-rPPG->PURE, Epoch: 1, Loss: 3.0249
[16:03] UBFC-rPPG->PURE, Epoch: 1, Loss: 3.0809
[16:08] UBFC-rPPG->PURE, Epoch: 1, Loss: 2.6041
[16:13] UBFC-rPPG->PURE, Epoch: 1, Loss: 3.1940
[16:18] UBFC-rPPG->PURE, Epoch: 2, Loss: 2.8879
